sample_id,run_id,group,severity,bad_name,ground_truth,equiv_step_entropy,equiv_step_gt_prob,equiv_step_confidence,probe_entropy,probe_gt_prob,probe_confidence
11,1,smell,severe,x,context,1,0,0,0.5055551528930664,7.945069228298962e-06,0.9169439077377319
11,1,smell,moderate,foo,context,0,0,0,0.4407252073287964,6.22179595666239e-06,0.9365270137786865
11,1,smell,mild,item,context,0,0,0,0.34839507937431335,7.46618661651155e-06,0.9463657736778259
11,1,control,none,,context,0,0,0,0.20420309901237488,3.2110619940795004e-07,0.9557642340660095
14,1,smell,severe,x,queryBuilder,0,0,0,0.31888923048973083,2.960786787298275e-06,0.9288522601127625
14,1,smell,moderate,tmp,queryBuilder,0,0,0,0.31298211216926575,4.744222223962424e-06,0.9313845634460449
14,1,smell,mild,temp1,queryBuilder,0,0,0,0.17026574909687042,1.724915904333102e-06,0.9673255681991577
14,1,control,none,,queryBuilder,0,0,0,0.07447748631238937,3.386194402987819e-06,0.9860469102859497
17,1,smell,severe,xx,millis,0,0,0,0.02842954359948635,7.321285244721309e-10,0.996192216873169
17,1,smell,moderate,foo,millis,0,0,0,0.07280120998620987,1.8553218961159246e-09,0.9886077046394348
17,1,smell,mild,temp1,millis,0,0,0,0.03350602835416794,6.927099449605123e-10,0.9951730966567993
17,1,control,none,,millis,0,0,0,0.15558774769306183,2.713709648105578e-07,0.9743067622184753
22,1,smell,severe,a1,status,1,0,1,0.2071494162082672,7.59522038151772e-07,0.9770307540893555
22,1,smell,moderate,foo,status,1,0,1,0.29961642622947693,1.5704796169302426e-05,0.9701598882675171
22,1,smell,mild,result1,status,1,0,1,0.34974634647369385,2.200604103563819e-05,0.9623067378997803
22,1,control,none,,status,1,0,1,0.37146496772766113,3.99083255615551e-05,0.9357326030731201
24,1,smell,severe,x,request,0,0,0,0.05315351486206055,1.2888560263490945e-07,0.9950467348098755
24,1,smell,moderate,foo,request,0,0,0,0.17189152538776398,2.629715254442999e-06,0.979698896408081
24,1,smell,mild,result1,request,0,0,0,0.08097568154335022,6.553162279487879e-08,0.9897661209106445
24,1,control,none,,request,0,0,0,0.06075931340456009,4.32696424468304e-06,0.993129312992096
25,1,smell,severe,a1,requestUrl,0,0,0,0.4636535942554474,1.5730269886660153e-06,0.8466610908508301
25,1,smell,moderate,data,requestUrl,0,0,2,0.9219804406166077,9.591091156835319e-07,0.6149789690971375
25,1,smell,mild,item,requestUrl,1,0,2,1.1761548519134521,1.815943051042268e-06,0.6455480456352234
25,1,control,none,,requestUrl,0,0,0,0.31163835525512695,2.365779194768436e-07,0.8986220359802246
33,1,smell,severe,a,clientId,0,0,0,0.7083603739738464,7.43281134418794e-08,0.8262155055999756
33,1,smell,moderate,tmp,clientId,0,0,0,0.584266185760498,1.0886208912097572e-07,0.870530366897583
33,1,smell,mild,result1,clientId,0,0,0,0.39690840244293213,5.539595449022272e-10,0.908313512802124
33,1,control,none,,clientId,0,0,0,0.8942039012908936,5.5128218434674636e-08,0.7411578893661499
43,1,smell,severe,a1,serviceTimeEWMA,0,0,0,0.17849746346473694,1.1437591185270435e-06,0.9752121567726135
43,1,smell,moderate,val,serviceTimeEWMA,0,0,0,0.7165289521217346,1.790129857681677e-07,0.8716476559638977
43,1,smell,mild,myVar,serviceTimeEWMA,0,0,0,0.23968267440795898,5.307775836627115e-07,0.9500719308853149
43,1,control,none,,serviceTimeEWMA,0,0,0,0.11127559840679169,4.859822465286268e-07,0.9845954179763794
45,1,smell,severe,xx,context,0,0,0,1.3303600549697876,9.271847375202924e-06,0.826884388923645
45,1,smell,moderate,data,context,0,0,0,0.4403855800628662,3.535867108439561e-06,0.8638967275619507
45,1,smell,mild,result1,context,0,0,0,0.34069302678108215,1.327033373854647e-06,0.8783389925956726
45,1,control,none,,context,0,0,0,0.31072184443473816,1.4728779262895841e-07,0.913700520992279
47,1,smell,severe,xx,builder,0,0,0,0.16459716856479645,6.975292308197822e-06,0.9710412621498108
47,1,smell,moderate,val,builder,0,0,0,0.2296476513147354,1.588389386597555e-05,0.9510345458984375
47,1,smell,mild,value1,builder,0,0,0,0.24451670050621033,8.898994252604098e-08,0.9433701038360596
47,1,control,none,,builder,0,0,0,0.11059638857841492,0.00011372860899427906,0.9809874296188354
49,1,smell,severe,x,response,0,0,1,0.7146836519241333,9.705491947897826e-07,0.7836120128631592
49,1,smell,moderate,tmp,response,0,0,0,0.4893176555633545,1.2819184121326543e-05,0.9404067397117615
49,1,smell,mild,temp1,response,0,0,0,0.3302747905254364,6.199216784352757e-08,0.8790040016174316
49,1,control,none,,response,0,0,0,0.38970834016799927,1.5655422203053604e-06,0.8893376588821411
50,1,smell,severe,x,parsed,0,0,0,0.11486340314149857,9.460178063136482e-08,0.9828099012374878
50,1,smell,moderate,val,parsed,0,0,0,0.13312458992004395,3.140630724374205e-07,0.9796625971794128
50,1,smell,mild,result1,parsed,0,0,0,0.053718384355306625,1.9858596544963802e-08,0.9923083186149597
