sample_id,run_id,group,severity,bad_name,ground_truth,current_token_prob,current_token_rank,gt_token_prob,gt_token_rank,entropy,argmax_confidence,argmax_decoded,top5
11,1,smell,severe,x,context,0.0012165831867605448,5.0,7.945069228298962e-06,116.0,0.5055551528930664,0.9169439077377319,,"[["")"", 0.9169439077377319], ["")"", 0.05861825868487358], ["""", 0.003520300379022956], [""."", 0.0027416127268224955], [""x"", 0.0012165831867605448]]"
11,1,smell,moderate,foo,context,9.636505637899972e-06,99.0,6.22179595666239e-06,128.0,0.4407252073287964,0.9365270137786865,,"[["")"", 0.9365270137786865], ["")"", 0.034112993627786636], ["")"", 0.005927949212491512], ["""", 0.004616691265255213], [""."", 0.004074215888977051]]"
11,1,smell,mild,item,context,6.5888871176866814e-06,66.0,7.46618661651155e-06,59.0,0.34839507937431335,0.9463657736778259,,"[["")"", 0.9463657736778259], ["")"", 0.023691805079579353], ["")"", 0.016283122822642326], ["""", 0.005286355968564749], ["")."", 0.00046191667206585407]]"
11,1,control,none,,context,3.2110619940795004e-07,115.0,3.2110619940795004e-07,115.0,0.20420309901237488,0.9557642340660095,,"[["")"", 0.9557642340660095], ["")"", 0.04199334979057312], ["")"", 0.0005286182858981192], ["""", 0.0002829489822033793], [""})"", 0.00010409111564513296]]"
11,1,mask,full,,context,3.150541161289766e-09,88412.0,7.891935638326686e-07,111.0,0.1429460644721985,0.9792149066925049,,"[["")"", 0.9792149066925049], ["")"", 0.01684832200407982], ["")"", 0.0007880065822973847], ["")."", 0.00014576654939446598], [""))"", 7.802320760674775e-05]]"
14,1,smell,severe,x,queryBuilder,8.303731192427222e-06,21.0,2.960786787298275e-06,44.0,0.31888923048973083,0.9288522601127625,,"[["""", 0.9288522601127625], [""="", 0.05578191578388214], ["""", 0.008036146871745586], [""="", 0.0055231573060154915], ["""", 0.0005468666204251349]]"
14,1,smell,moderate,tmp,queryBuilder,9.944429848474101e-07,65.0,4.744222223962424e-06,27.0,0.31298211216926575,0.9313845634460449,,"[["""", 0.9313845634460449], [""="", 0.05254512280225754], ["""", 0.011014054529368877], [""="", 0.0019139557844027877], ["""", 0.0014002799289301038]]"
14,1,smell,mild,temp1,queryBuilder,4.634930053271091e-05,14.0,1.724915904333102e-06,45.0,0.17026574909687042,0.9673255681991577,1,"[[""1"", 0.9967243075370789], [""2"", 0.002320944331586361], [""3"", 0.00037888376391492784], [""0"", 0.00019051470735576004], [""4"", 5.631604290101677e-05]]"
14,1,control,none,,queryBuilder,3.386194402987819e-06,2210.5,3.386194402987819e-06,2210.5,0.07447748631238937,0.9860469102859497,Builder,"[[""Builder"", 0.9998021721839905], [""builder"", 1.6698395484127104e-05], [""Builders"", 1.473628253734205e-05], [""StringBuilder"", 9.514459634374361e-06], [""_builder"", 6.96092729413067e-06]]"
14,1,mask,full,,queryBuilder,7.426691900347393e-11,73441.5,1.771705618125452e-05,9.5,0.026064526289701462,0.9964441061019897,Builder,"[[""Builder"", 0.9999305009841919], [""QueryBuilder"", 2.014469646383077e-05], [""_builder"", 1.0782679055409972e-05], [""Builder"", 3.966726126236608e-06], [""builder"", 3.5006235066248337e-06]]"
17,1,smell,severe,xx,millis,6.656078994637937e-07,25.0,7.321285244721309e-10,11915.0,0.02842954359948635,0.996192216873169,,"[["""", 0.996192216873169], ["""", 0.0031706616282463074], ["""", 0.0002602637105155736], [""="", 0.00016803891048766673], ["""", 3.7494544812943786e-05]]"
17,1,smell,moderate,foo,millis,3.354500449859188e-06,25.0,1.8553218961159246e-09,7747.0,0.07280120998620987,0.9886077046394348,,"[["""", 0.9886077046394348], ["""", 0.00910476129502058], [""="", 0.0011575405951589346], ["""", 0.0005467834416776896], ["""", 0.0001471647701691836]]"
17,1,smell,mild,temp1,millis,5.093898764130245e-06,19.5,6.927099449605123e-10,1820.0,0.03350602835416794,0.9951730966567993,1,"[[""1"", 0.9955377578735352], [""2"", 0.004068535286933184], [""3"", 0.0002600927255116403], [""0"", 5.1215301937190816e-05], [""4"", 2.2726651877746917e-05]]"
17,1,control,none,,millis,2.713709648105578e-07,114.0,2.713709648105578e-07,114.0,0.15558774769306183,0.9743067622184753,,"[["""", 0.9743067622184753], ["""", 0.013897739350795746], [""="", 0.00791869405657053], ["""", 0.0015592832351103425], [""1"", 0.0008346241666004062]]"
17,1,mask,full,,millis,6.869230011197214e-12,88016.0,3.3237267160757256e-08,28.0,0.007608481217175722,0.9991562366485596,,"[["""", 0.9991562366485596], ["""", 0.0006261978414840996], [""="", 0.0001158349696197547], ["""", 7.961212395457551e-05], ["""", 5.767082711827243e-06]]"
22,1,smell,severe,a1,status,0.0007269258703672676,29.5,7.59522038151772e-07,68.0,0.2071494162082672,0.9770307540893555,1,"[[""1"", 0.9876256585121155], [""0"", 0.0055168322287499905], [""2"", 0.004868587013334036], [""3"", 0.0007947749691084027], [""4"", 0.0001887755934149027]]"
22,1,smell,moderate,foo,status,4.404519495437853e-05,37.0,1.5704796169302426e-05,65.0,0.29961642622947693,0.9701598882675171,,"[["")"", 0.9701598882675171], ["")"", 0.005768781527876854], ["")"", 0.003724605543538928], [""]"", 0.0032869528513401747], [""*/"", 0.0015526466304436326]]"
22,1,smell,mild,result1,status,0.004033557702314283,6.0,2.200604103563819e-05,7.0,0.34974634647369385,0.9623067378997803,1,"[[""1"", 0.9945711493492126], [""2"", 0.0031655021011829376], [""0"", 0.0016943712253123522], [""3"", 8.435776544502005e-05], [""Type"", 6.993504939600825e-05]]"
22,1,control,none,,status,3.99083255615551e-05,26.0,3.99083255615551e-05,26.0,0.37146496772766113,0.9357326030731201,,"[["")"", 0.9357326030731201], ["""", 0.04376479983329773], ["")"", 0.008617798797786236], ["")"", 0.0014975490048527718], ["""", 0.0014068169984966516]]"
22,1,mask,full,,status,2.002709775794642e-09,86802.0,4.91078299091896e-06,26.0,0.05617012083530426,0.9946869611740112,,"[["")"", 0.9946869611740112], ["")"", 0.0015918997814878821], ["")"", 0.001404846552759409], [""){"", 0.00024412573839072138], ["""", 0.00022933489526621997]]"
