sample_id,condition,noise_level,trial_id,original_name,target_name,predicted_name,is_restored,is_refactored,target_masked
mock_0,clean,0.1,0,userData,userData,userData,True,False,False
mock_0,smelly,0.1,0,data,userData,data,True,False,False
mock_0,clean,0.1,1,userData,userData,userData,True,False,False
mock_0,smelly,0.1,1,data,userData,data,True,False,False
mock_0,clean,0.1,2,userData,userData,userData,True,False,False
mock_0,smelly,0.1,2,data,userData,data,True,False,False
mock_0,clean,0.3,0,userData,userData,userData,True,False,False
mock_0,smelly,0.3,0,data,userData,data,True,False,False
mock_0,clean,0.3,1,userData,userData,userData,True,False,False
mock_0,smelly,0.3,1,data,userData,data,True,False,False
mock_0,clean,0.3,2,userData,userData,userData,True,False,True
mock_0,smelly,0.3,2,data,userData,data,True,False,False
mock_0,clean,0.5,0,userData,userData,userData,True,False,False
mock_0,smelly,0.5,0,data,userData,data,True,False,False
mock_0,clean,0.5,1,userData,userData,userData,True,False,False
mock_0,smelly,0.5,1,data,userData,data,True,False,False
mock_0,clean,0.5,2,userData,userData,userData,True,False,False
mock_0,smelly,0.5,2,data,userData,data,True,False,False
mock_0,clean,0.7,0,userData,userData,userData,True,False,True
mock_0,smelly,0.7,0,data,userData,data,True,False,False
mock_0,clean,0.7,1,userData,userData,userData,True,False,True
mock_0,smelly,0.7,1,data,userData,data,True,False,False
mock_0,clean,0.7,2,userData,userData,userData,True,False,True
mock_0,smelly,0.7,2,data,userData,random_noise,False,False,True
mock_0,clean,0.9,0,userData,userData,other,False,False,True
mock_0,smelly,0.9,0,data,userData,random_noise,False,False,True
mock_0,clean,0.9,1,userData,userData,userData,True,False,True
mock_0,smelly,0.9,1,data,userData,random_noise,False,False,True
mock_0,clean,0.9,2,userData,userData,other,False,False,True
mock_0,smelly,0.9,2,data,userData,random_noise,False,False,True
mock_1,clean,0.1,0,userData,userData,userData,True,False,False
mock_1,smelly,0.1,0,data,userData,data,True,False,False
mock_1,clean,0.1,1,userData,userData,userData,True,False,True
mock_1,smelly,0.1,1,data,userData,data,True,False,False
mock_1,clean,0.1,2,userData,userData,userData,True,False,False
mock_1,smelly,0.1,2,data,userData,data,True,False,False
mock_1,clean,0.3,0,userData,userData,userData,True,False,True
mock_1,smelly,0.3,0,data,userData,data,True,False,True
mock_1,clean,0.3,1,userData,userData,userData,True,False,True
mock_1,smelly,0.3,1,data,userData,data,True,False,False
mock_1,clean,0.3,2,userData,userData,userData,True,False,False
mock_1,smelly,0.3,2,data,userData,data,True,False,False
mock_1,clean,0.5,0,userData,userData,userData,True,False,False
mock_1,smelly,0.5,0,data,userData,data,True,False,False
mock_1,clean,0.5,1,userData,userData,userData,True,False,False
mock_1,smelly,0.5,1,data,userData,data,True,False,True
mock_1,clean,0.5,2,userData,userData,other,False,False,True
mock_1,smelly,0.5,2,data,userData,data,True,False,False
mock_1,clean,0.7,0,userData,userData,other,False,False,True
mock_1,smelly,0.7,0,data,userData,random_noise,False,False,True
mock_1,clean,0.7,1,userData,userData,other,False,False,True
mock_1,smelly,0.7,1,data,userData,data,True,False,False
mock_1,clean,0.7,2,userData,userData,userData,True,False,True
mock_1,smelly,0.7,2,data,userData,data,True,False,False
mock_1,clean,0.9,0,userData,userData,other,False,False,True
mock_1,smelly,0.9,0,data,userData,random_noise,False,False,True
mock_1,clean,0.9,1,userData,userData,other,False,False,True
mock_1,smelly,0.9,1,data,userData,random_noise,False,False,True
mock_1,clean,0.9,2,userData,userData,other,False,False,True
mock_1,smelly,0.9,2,data,userData,random_noise,False,False,True
mock_2,clean,0.1,0,userData,userData,userData,True,False,True
mock_2,smelly,0.1,0,data,userData,data,True,False,False
mock_2,clean,0.1,1,userData,userData,userData,True,False,False
mock_2,smelly,0.1,1,data,userData,data,True,False,False
mock_2,clean,0.1,2,userData,userData,userData,True,False,False
mock_2,smelly,0.1,2,data,userData,data,True,False,False
mock_2,clean,0.3,0,userData,userData,userData,True,False,True
mock_2,smelly,0.3,0,data,userData,data,True,False,False
mock_2,clean,0.3,1,userData,userData,userData,True,False,False
mock_2,smelly,0.3,1,data,userData,data,True,False,True
mock_2,clean,0.3,2,userData,userData,other,False,False,True
mock_2,smelly,0.3,2,data,userData,data,True,False,False
mock_2,clean,0.5,0,userData,userData,userData,True,False,False
mock_2,smelly,0.5,0,data,userData,data,True,False,False
mock_2,clean,0.5,1,userData,userData,userData,True,False,False
mock_2,smelly,0.5,1,data,userData,userData,False,True,True
mock_2,clean,0.5,2,userData,userData,other,False,False,True
mock_2,smelly,0.5,2,data,userData,random_noise,False,False,True
mock_2,clean,0.7,0,userData,userData,other,False,False,True
mock_2,smelly,0.7,0,data,userData,random_noise,False,False,True
mock_2,clean,0.7,1,userData,userData,userData,True,False,True
mock_2,smelly,0.7,1,data,userData,data,True,False,False
mock_2,clean,0.7,2,userData,userData,userData,True,False,True
mock_2,smelly,0.7,2,data,userData,data,True,False,True
mock_2,clean,0.9,0,userData,userData,userData,True,False,False
mock_2,smelly,0.9,0,data,userData,data,True,False,False
mock_2,clean,0.9,1,userData,userData,other,False,False,True
mock_2,smelly,0.9,1,data,userData,random_noise,False,False,True
mock_2,clean,0.9,2,userData,userData,other,False,False,True
mock_2,smelly,0.9,2,data,userData,random_noise,False,False,True
mock_3,clean,0.1,0,userData,userData,userData,True,False,False
mock_3,smelly,0.1,0,data,userData,data,True,False,False
mock_3,clean,0.1,1,userData,userData,userData,True,False,False
mock_3,smelly,0.1,1,data,userData,data,True,False,False
mock_3,clean,0.1,2,userData,userData,userData,True,False,False
mock_3,smelly,0.1,2,data,userData,data,True,False,False
mock_3,clean,0.3,0,userData,userData,userData,True,False,False
mock_3,smelly,0.3,0,data,userData,data,True,False,False
mock_3,clean,0.3,1,userData,userData,userData,True,False,False
mock_3,smelly,0.3,1,data,userData,data,True,False,False
mock_3,clean,0.3,2,userData,userData,userData,True,False,True
mock_3,smelly,0.3,2,data,userData,userData,False,True,True
mock_3,clean,0.5,0,userData,userData,userData,True,False,True
mock_3,smelly,0.5,0,data,userData,data,True,False,False
mock_3,clean,0.5,1,userData,userData,userData,True,False,False
mock_3,smelly,0.5,1,data,userData,data,True,False,False
mock_3,clean,0.5,2,userData,userData,userData,True,False,True
mock_3,smelly,0.5,2,data,userData,data,True,False,False
mock_3,clean,0.7,0,userData,userData,other,False,False,True
mock_3,smelly,0.7,0,data,userData,random_noise,False,False,True
mock_3,clean,0.7,1,userData,userData,other,False,False,True
mock_3,smelly,0.7,1,data,userData,userData,False,True,True
mock_3,clean,0.7,2,userData,userData,userData,True,False,False
mock_3,smelly,0.7,2,data,userData,random_noise,False,False,True
mock_3,clean,0.9,0,userData,userData,userData,True,False,True
mock_3,smelly,0.9,0,data,userData,random_noise,False,False,True
mock_3,clean,0.9,1,userData,userData,userData,True,False,True
mock_3,smelly,0.9,1,data,userData,random_noise,False,False,True
mock_3,clean,0.9,2,userData,userData,other,False,False,True
mock_3,smelly,0.9,2,data,userData,random_noise,False,False,True
mock_4,clean,0.1,0,userData,userData,userData,True,False,False
mock_4,smelly,0.1,0,data,userData,data,True,False,False
mock_4,clean,0.1,1,userData,userData,userData,True,False,True
mock_4,smelly,0.1,1,data,userData,data,True,False,False
mock_4,clean,0.1,2,userData,userData,userData,True,False,False
mock_4,smelly,0.1,2,data,userData,data,True,False,False
mock_4,clean,0.3,0,userData,userData,userData,True,False,False
mock_4,smelly,0.3,0,data,userData,data,True,False,False
mock_4,clean,0.3,1,userData,userData,userData,True,False,False
mock_4,smelly,0.3,1,data,userData,userData,False,True,True
mock_4,clean,0.3,2,userData,userData,userData,True,False,False
mock_4,smelly,0.3,2,data,userData,data,True,False,False
mock_4,clean,0.5,0,userData,userData,userData,True,False,True
mock_4,smelly,0.5,0,data,userData,data,True,False,False
mock_4,clean,0.5,1,userData,userData,userData,True,False,False
mock_4,smelly,0.5,1,data,userData,data,True,False,True
mock_4,clean,0.5,2,userData,userData,other,False,False,True
mock_4,smelly,0.5,2,data,userData,data,True,False,True
mock_4,clean,0.7,0,userData,userData,userData,True,False,True
mock_4,smelly,0.7,0,data,userData,data,True,False,False
mock_4,clean,0.7,1,userData,userData,userData,True,False,False
mock_4,smelly,0.7,1,data,userData,random_noise,False,False,True
mock_4,clean,0.7,2,userData,userData,userData,True,False,False
mock_4,smelly,0.7,2,data,userData,random_noise,False,False,True
mock_4,clean,0.9,0,userData,userData,other,False,False,True
mock_4,smelly,0.9,0,data,userData,data,True,False,False
mock_4,clean,0.9,1,userData,userData,userData,True,False,True
mock_4,smelly,0.9,1,data,userData,random_noise,False,False,True
mock_4,clean,0.9,2,userData,userData,other,False,False,True
mock_4,smelly,0.9,2,data,userData,random_noise,False,False,True
mock_5,clean,0.1,0,userData,userData,userData,True,False,False
mock_5,smelly,0.1,0,data,userData,data,True,False,False
mock_5,clean,0.1,1,userData,userData,userData,True,False,False
mock_5,smelly,0.1,1,data,userData,data,True,False,False
mock_5,clean,0.1,2,userData,userData,userData,True,False,True
mock_5,smelly,0.1,2,data,userData,data,True,False,False
mock_5,clean,0.3,0,userData,userData,userData,True,False,False
