model,mode,id,identifier,n_sites,consistent,agreed_pred,em,lev_sim,nw_sim,subtok_fuzzy,qual_char,copies_obf
DiffuCoder-7B,all-masked,0,of,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,at,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,value,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,decodedURLStr,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,protocol,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,username,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,password,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,host,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,port,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,path,62,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,parameters,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,pathEndIdx,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,decodedBody,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,str,28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,from,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,len,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,tempBuf,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,params,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,nameStart,19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,valueStart,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,ch,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,fullURLStr,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,starIdx,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,endIdx,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,url,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,poundIndex,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,protoEndIdx,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,missing,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,pathStartIdx,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,pwdEndIdx,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,userNameEndIdx,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,hostEndIdx,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,encodedURLStr,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,unterminated,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,escape,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
