model,arch,n,em_gated,em_consistent,consistency,lev,nw,fuzzy,qual,LJ_Q7,LJ_Q14,LJ_Q32,LJ_M24,LJ_G27,flags
CodeGemma-2B,Decoder-only (FIM),1000,0.0390,0.1196,0.3260,0.1954,0.2014,0.1535,0.9761,0.0770,0.0560,0.0560,0.0610,0.0650,
CodeGemma-7B,Decoder-only (FIM),1000,0.0610,0.1083,0.5630,0.1576,0.1614,0.1346,0.9923,0.1030,0.0840,0.0870,0.0890,0.0940,
CodeLlama-13B,Decoder-only (FIM),1000,0.1360,0.2230,0.6100,0.2932,0.2968,0.2798,0.9776,0.2200,0.1820,0.1880,0.2010,0.2040,
CodeLlama-7B,Decoder-only (FIM),1000,0.1370,0.2362,0.5800,0.3242,0.3286,0.3137,0.9137,0.2240,0.1960,0.2050,0.2160,0.2200,
CodeT5-base,Encoder-decoder,1000,0.0690,0.2292,0.3010,0.3504,0.3549,0.3290,0.7935,0.1430,0.1180,0.1170,0.1260,0.1230,
CodeT5-large,Encoder-decoder,1000,0.1000,0.2336,0.4280,0.3863,0.3910,0.3651,0.9558,0.1970,0.1720,0.1770,0.1930,0.1880,
CodeT5-small,Encoder-decoder,1000,0.0410,0.2500,0.1640,0.4447,0.4552,0.4147,0.9058,0.0890,0.0770,0.0770,0.0880,0.0840,
CodeT5p-16B,Encoder-decoder,1000,0.0950,0.3800,0.2500,0.5803,0.5898,0.5332,0.9360,0.1780,0.1680,0.1670,0.1860,0.1840,
CodeT5p-2B,Encoder-decoder,1000,0.0690,0.3350,0.2060,0.5651,0.5752,0.5157,0.9388,0.1360,0.1270,0.1220,0.1380,0.1400,
CodeT5p-6B,Encoder-decoder,1000,0.0700,0.3196,0.2190,0.5508,0.5602,0.5250,0.9436,0.1460,0.1310,0.1360,0.1490,0.1460,
DeepSeek-Coder-1.3B,Decoder-only (FIM),1000,0.1080,0.2236,0.4830,0.3018,0.3070,0.2837,0.9842,0.1720,0.1500,0.1570,0.1630,0.1630,
DeepSeek-Coder-6.7B,Decoder-only (FIM),1000,0.0870,0.1588,0.5480,0.2146,0.2175,0.2034,0.9809,0.1410,0.1180,0.1250,0.1280,0.1310,
DiffuCoder-7B,dLLM (fixed-canvas),1000,0.2440,0.3536,0.6900,0.6167,0.6245,0.5945,0.9160,0.5110,0.4960,0.5050,0.5450,0.5410,
DiffusionGemma-26B-A4B,dLLM (block-AR),1000,0.1470,0.3750,0.3920,0.6361,0.6442,0.6110,0.9650,0.2970,0.2810,0.2860,0.3180,0.3190,
DreamCoder-7B,dLLM (fixed-canvas),1000,0.2750,0.4080,0.6740,0.6540,0.6607,0.6336,0.9376,0.5200,0.5080,0.5180,0.5450,0.5510,
DreamOn-7B,dLLM (variable canvas),1000,0.0870,0.1608,0.5410,0.5039,0.5157,0.4727,0.9387,0.3560,0.3560,0.3100,0.4140,0.3690,
Qwen2.5-Coder-1.5B,Decoder-only (FIM),1000,0.0890,0.2032,0.4380,0.2892,0.2935,0.2716,0.9702,0.1490,0.1220,0.1270,0.1380,0.1410,
Qwen2.5-Coder-14B,Decoder-only (FIM),1000,0.0820,0.1507,0.5440,0.1896,0.1915,0.1802,0.9901,0.1250,0.1040,0.1080,0.1110,0.1160,
Qwen2.5-Coder-3B,Decoder-only (FIM),1000,0.0900,0.2426,0.3710,0.3316,0.3377,0.3161,0.9708,0.1510,0.1270,0.1330,0.1420,0.1440,
Qwen2.5-Coder-7B,Decoder-only (FIM),1000,0.1070,0.2383,0.4490,0.3117,0.3154,0.3006,0.9692,0.1710,0.1530,0.1540,0.1570,0.1620,
StarCoder2-15B,Decoder-only (FIM),1000,0.0980,0.2456,0.3990,0.3694,0.3758,0.3503,0.9418,0.1780,0.1600,0.1580,0.1730,0.1710,
StarCoder2-3B,Decoder-only (FIM),1000,0.0390,0.1866,0.2090,0.4009,0.4102,0.3817,0.9530,0.0800,0.0670,0.0630,0.0900,0.0740,
StarCoder2-7B,Decoder-only (FIM),1000,0.0350,0.2000,0.1750,0.4189,0.4312,0.4012,0.8964,0.0750,0.0590,0.0550,0.0820,0.0670,
