model,family,EM_strict_pct,LJ_accept_pct,n,judge=Qwen2.5-7B-Instruct
DiffuCoder-7B,dLLM,25.6,51.4,692,
DreamCoder-7B,dLLM,27.2,49.6,673,
DreamOn-7B,dLLM,8.7,35.6,1000,
CodeLlama-7B,FIM,13.7,22.4,1000,
CodeLlama-13B,FIM,13.6,22.0,1000,
CodeT5-large,Seq2Seq,10.0,19.7,1000,
CodeT5p-16B,Seq2Seq,9.5,17.8,1000,
StarCoder2-15B,FIM,9.8,17.8,1000,
DeepSeek-Coder-1.3B,FIM,10.8,17.2,1000,
Qwen2.5-Coder-7B,FIM,10.7,17.1,1000,
Qwen2.5-Coder-3B,FIM,9.0,15.1,1000,
Qwen2.5-Coder-1.5B,FIM,8.9,14.9,1000,
CodeT5-base,Seq2Seq,6.9,14.3,1000,
DeepSeek-Coder-6.7B,FIM,8.7,14.1,1000,
CodeT5p-2B,Seq2Seq,6.8,13.5,909,
Qwen2.5-Coder-14B,FIM,8.2,12.5,1000,
CodeT5p-6B,FIM,4.1,11.4,193,
CodeGemma-7B,FIM,6.1,10.3,1000,
CodeT5-small,Seq2Seq,4.1,8.9,1000,
StarCoder2-3B,FIM,3.9,8.0,1000,
CodeGemma-2B,FIM,3.9,7.7,1000,
StarCoder2-7B,FIM,3.5,7.5,1000,
