id,ground_truth,n_total_masks,predictions,first_pred,first_correct,error
0,decodedCapacity,2,bufSize|bufSize,bufSize,False,
1,canExclude,4,0|0|0|0,0,False,
2,expectedIndexName,4,resolvedName|resolvedName|resolvedName|resolvedName,resolvedName,False,
3,style,61,style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style,style,True,
4,methodHandlesLookup,5,LOOKUP|LOOKUP|LOOKUP|LOOKUP|LOOKUP,LOOKUP,False,
5,nPredicates,12,predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount,predCount,False,
6,status,8,healthStatus|healthStatus|healthStatus|healthStatus|healthStatus|healthStatus|healthStatus|healthStatus,healthStatus,False,
7,mockXPackLicenseStatus,2,licenseStatus|licenseStatus,licenseStatus,False,
8,typeClsFullName,2,clsName|clsName,clsName,False,
9,bytes,8,name|bytes|bytes|bytes|bytes|bytes|bytes|bytes,name,False,
10,restoreId,3,restoreId|restoreId|restoreId,restoreId,True,
11,context,3,context|context|context,context,True,
12,cache,20,cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache,cache,True,
13,relativePath,3,oldPath|oldPath|oldPath,oldPath,False,
14,queryBuilder,2,queryBuilder|queryBuilder,queryBuilder,True,
15,printer,2,printer|printer,printer,True,
16,sourceBitmapConfig,3,sourceConfig|sourceConfig|sourceConfig,sourceConfig,False,
17,millis,6,cost1|cost1|cost1|cost2|cost2|cost2,cost1,False,
18,numShards,2,numNodes|numNodes,numNodes,False,
19,fullSchedule,6,resultUpdates|resultUpdates|resultUpdates|resultUpdates|resultUpdates|resultUpdates,resultUpdates,False,
20,match,5,newCandidate|bestCandidate|newCandidate|newCandidate|bestCandidate,newCandidate,False,
