id,ground_truth,n_total_masks,predictions,first_pred,first_correct,error
0,decodedCapacity,2,encodedBytes|encodedBytes,encodedBytes,False,
1,canExclude,4,0|0|0|0,0,False,
2,expectedIndexName,4,indexName|indexName|indexName|indexName,indexName,False,
3,style,61,style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style|style,style,True,
4,methodHandlesLookup,5,lookup_|lookup_|lookup_|lookup_|lookup_,lookup_,False,
5,nPredicates,12,predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount|predCount,predCount,False,
6,status,8,status|status|status|status|status|status|status|status,status,True,
7,mockXPackLicenseStatus,2,licenseStatus|licenseStatus,licenseStatus,False,
8,typeClsFullName,2,clsName|clsName,clsName,False,
9,bytes,8,name|bytes|bytes|bytes|bytes|bytes|bytes|bytes,name,False,
10,restoreId,3,restoreId|restoreId|restoreId,restoreId,True,
11,context,3,context|context|context,context,True,
12,cache,20,cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache|cache,cache,True,
13,relativePath,3,oldPath|oldPath|oldPath,oldPath,False,
14,queryBuilder,2,queryBuilder|queryBuilder,queryBuilder,True,
15,printer,2,p|printer,p,False,
16,sourceBitmapConfig,3,sourceConfig|sourceConfig|sourceConfig,sourceConfig,False,
17,millis,6,time1|time1|time1|time2|time2|time2,time1,False,
18,numShards,2,numShares|numBars,numShares,False,
19,fullSchedule,6,scheduledUpdates|scheduledUpdates|scheduledUpdates|scheduledUpdates|scheduledUpdates|scheduledUpdates,scheduledUpdates,False,
20,match,5,bestCandidate|bestCandidate|bestCandidate|bestCandidate|bestCandidate,bestCandidate,False,
21,sectionLength,17,sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength|sectionLength,sectionLength,True,
22,status,3,status|status|status,status,True,
23,fooAbs,3,fooAbs|fooBarAbs|fooBarAbs,fooAbs,True,
24,request,2,0|0,0,False,
25,requestUrl,4,urlPath|urlPath|urlPath|urlPath,urlPath,False,
26,cmcdConfigurationFactory,6,.|.|. .|.|.|.,.,False,
27,formatBuilder,34,formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder|formatBuilder,formatBuilder,True,
28,desktopServicesStore,6,dsStore|dsStore|dsStore|dsStore|dsStore|dsStore,dsStore,False,
29,roles,3,nodeRoles|nodeRoles|nodeRoles,nodeRoles,False,
30,wasPanning,2,wasPan|wasPan,wasPan,False,
31,delimiter,4,delimiter|delimiter|delimiter|delimiter,delimiter,True,
32,events,4,logOutput|logOutput|logOutput|logOutput,logOutput,False,
33,clientId,2,clientKey|clientID,clientKey,False,
34,integer,10,runCount|runCount|runCount|runCount|runCount|runCount|runCount|runCount|runCount|runCount,runCount,False,
35,drmEventDispatcher,2,drmDispatcher|drmDispatcher,drmDispatcher,False,
36,toExcluded,10,toExclude|toExclude|toExclude|toExclude|toExclude|toExclude|toExclude|toExclude|toExclude|toExclude,toExclude,False,
